month,day,hour,day of week,air_temp_f,3039 power (kW),3538 power (kW),4031 power (kW),6139 power (kW),7951 power (kW),8386 power (kW),8565 power (kW),9278 power (kW),power(kW)
1.0,15.0,20.0,0.0,60.68,2.48675,0.42775,1.205,1.43075,0.43975,0.92825,1.442,2.10575,10.466000000000001
1.0,15.0,21.0,0.0,59.42,1.47625,0.80875,2.04,1.46975,0.41975,0.6205,0.91025,1.039,8.78425
1.0,15.0,22.0,0.0,45.75,1.35575,0.44425,2.09725,4.6560000000000015,2.45125,0.45025,0.54125,1.1105,13.106500000000002
1.0,15.0,23.0,0.0,40.34,1.103,0.3825,0.951,1.06725,0.4415,0.51625,0.2955,3.76975,8.52675
1.0,16.0,0.0,1.0,38.25,1.00775,0.428,0.28825,0.8235,1.98275,0.4475,0.28275,2.54975,7.81025
1.0,16.0,1.0,1.0,36.05,0.89325,0.441,0.32775,0.7745,2.28825,0.52225,0.229,1.5725,7.0485
1.0,16.0,2.0,1.0,32.88,0.726,0.33325,0.5435,0.767,3.25225,0.501,0.1785,5.4235,11.725
1.0,16.0,3.0,1.0,31.83,0.71575,0.3475,0.5875,0.7835,2.036,0.57825,0.23475,2.9425,8.22575
1.0,16.0,4.0,1.0,30.18,0.7665,0.36225,0.55275,0.763,3.38275,0.5,0.27225,4.916,11.5155
1.0,16.0,5.0,1.0,28.59,0.965,0.34325,0.455,0.77525,4.3065,1.114,0.28325,5.93975,14.182
1.0,16.0,6.0,1.0,27.74,1.29175,0.3855,0.59925,0.76925,2.6595,0.59875,0.6115,5.24475,12.16025
1.0,16.0,7.0,1.0,26.72,1.439,0.4025,0.72425,0.76625,2.99525,1.30825,0.645,4.79225,13.07275
1.0,16.0,8.0,1.0,26.53,1.64475,0.591,0.64925,0.99875,3.846,1.018,0.6935,5.07575,14.517
1.0,16.0,9.0,1.0,26.23,2.2880000000000003,0.523,0.80775,1.168,3.99175,0.9785,0.91125,5.502000000000002,16.170250000000003
1.0,16.0,10.0,1.0,26.04,1.8225,0.65925,0.65125,1.22425,4.399,0.71675,0.9025,4.9155,15.291
1.0,16.0,11.0,1.0,26.23,1.8165,0.4785,0.594,1.3815,3.6595,0.68775,0.67225,2.4235,11.7135
1.0,16.0,12.0,1.0,26.49,3.0335,0.96175,0.852,1.49775,4.479,1.0215,0.72775,5.727,18.30025
1.0,16.0,13.0,1.0,26.77,1.8965,0.4825,0.79575,1.49125,3.5555,0.669,0.81275,14.8045,24.50775
1.0,16.0,14.0,1.0,27.17,1.80575,0.46425,1.0905,1.49525,3.072,0.60975,0.8465,7.961,17.345000000000002
1.0,16.0,15.0,1.0,28.07,2.0155,0.799,1.11475,1.545,1.21425,0.65125,0.8555,6.21825,14.413499999999999
1.0,16.0,16.0,1.0,28.06,2.52975,0.738,0.8079999999999999,1.3815,4.95925,0.97725,0.88675,5.73525,18.015749999999997
1.0,16.0,17.0,1.0,28.39,3.007,0.58775,0.6795,1.79725,2.12175,1.09225,0.8809999999999999,7.70725,17.87375
1.0,16.0,18.0,1.0,27.47,2.5955,0.8335,0.84475,1.76375,4.08175,1.2405,1.32725,4.58,17.267000000000003
1.0,16.0,19.0,1.0,26.54,2.236,0.5685,1.10625,1.854,3.195,1.319,3.88675,4.7975,18.962999999999997
1.0,16.0,20.0,1.0,26.63,2.0925,0.603,0.97525,2.61025,2.911,0.909,1.2225,6.65225,17.97575
1.0,16.0,21.0,1.0,26.95,1.33925,0.9765,1.12025,3.15825,3.69325,0.83525,0.944,11.81375,23.880499999999998
1.0,16.0,22.0,1.0,27.46,1.538,1.0215,0.77325,2.8960000000000004,4.30775,0.6185,0.9405,10.87275,22.96825
1.0,16.0,23.0,1.0,27.72,1.1745,0.5585,0.36425,1.80175,2.408,0.5445,0.50025,10.554,17.90575
1.0,17.0,0.0,2.0,26.59,1.1675,0.45225,0.344,1.2175,3.8435,0.59125,0.293,4.54325,12.452250000000001
